,title,rating,date_of_stay,review
1386,"Great Location, Well Trained Friendly Staff, Stunning Breakfast And A+++ Security",40,February 2018,"As soon as your car arrived , you will noticed that your safety is Marriott top priority, A 100% check on vehicle + a well trained guard dog saying hello.
2. Once in, you will experience friendly well trained staff at check in, welcome drink and popcorn -my girl loves it plus very high level of calm surroundings. From reception area to Pool lounge, staff make you feel at home.
3. Breakfast is certainly out of the ordinary and it is certainly the best I had ever seen so far in this class. Buffet spread caters for all types of meal diet, so many choices raging from asian delights up to european spread and a juicing section where one can pick the fruits of your choice for detox.
4. Room is very clean, nice pool view and quiet.
5. This hotel also provide a buggy ride for guest to the main road where it connects to main Seminyak shopping and dining restaurants. Great hotel location for travellers with children as it is located away from nightlife area / pubs.
6. F&B personnel Rie & Anton and many others which name I cant recalled certainly make my 2 nights stay very enjoyable.
7. What I would like see more on my next trip is more varieties of cooking style in your Sat Seafood BBQ. Perhaps showcase Indonesia cooking style /strength in using spice mix for preparing seafood (prawn, squid n crab) to grill instead of just plain western ""skewers"" and ""slice"" grill. Maybe you can try the banana leaf wrapped with your very own home made paste over charcoal /wood fire using whole fish,squid n crab. Or you can steamed mussels -haisyle, grill bigger prawn with your sambal
8. The Flower Crab that I had at the buffet was prepared in stir fried style/sweet n spicy sauce and the size was certainly not correct for this type of preparation. And to lump in mussels, prawn and crab all together stir fried with one type of sauce mix is certainly a lost.
Overall I will certainly be back again here and certainly will make it my home in Seminyak. Cheers.
Jimmy Khoo"
1387,Stunning luxury hotel,50,February 2018,"This is an amazing hotel. The location is great, close to many restaurants and busy streets. Inside the courtyard it feels like paradise, quiet and relaxing. The pools are large and warm and the poolbar has good drinks and food. The staff is incredibly friendly at all times. The breakfast has something to offer for everyone. The rooms are clean, modern and feel luxurious. I have nothing bad to say, I highly recommend it!"
1388,Penny is awesome,50,February 2018,I recently stayed with my daughter and it was wonderful. The staff are so lovely. We felt very welcomed by all but penny stuck out as extra special she took the time to remember our names. Also Debbie and ayo(?) in the kids club were amazing with the kids. Thanks for a great holiday.
1389,You can do better,30,February 2018,"I think you guys need to fix the floor planner.. The pool is nice, room is nice. But I feel something wrong with the floor planner just a bit messy in my opinion.. and there is still unfinished work around elevator area. There is no light there, look like an abandoned place when the rest of place just look nice. Its hard to find the room, put more sign or put more light in hallway.. I was thinking hotel with such a name would offer better quality for service and facilities.."
1390,Highly Recommended,50,February 2018,"This hotel was amazing and truly exceeded our expectations.

The location was great, breakfast and pool bar amazing, and customer service outstanding.

A special thank you to Ari from the concierge desk for helping my friends and I book our spa days, dinner dates and birthday requests.

Another thank you to Anton who was always a friendly face to see around the hotel.

We will definitely be back."
1391,"Great place, amazing staff!",50,February 2018,"We just spent a week at the Courtyard by Marriott in Seminyak, it was a lovely hotel with large and modern rooms but what made the experience excellent was the friendly and fun pool bar staff.. a big thank you to Penny who looked after us so well. Miss you Penny!"
1392,Staff are absolutely amazing ...,50,February 2018,"This is our 6 th stay at The Marriott Courtyard and I try hard to find a reason to try another resort , however the Courtyard is so perfect we keep coming back .
Your staff especially Ali at the resturant is absolutely amazing . He went out of his way to help us with information . A massive ThankYou to him .
Ayu at breakfast has been consistently awesome for the last couple of years . She is so friendly and helpful it really makes a difference .
The staff at seminyak kitchen in the evening for dinner are exemplary. There was a dish that was served at the pool bar and as it was closed they offered to make it for us even though it wasn’t on the menu . That’s service , that’s the difference between this hotel and others.
We are a frequent traveler around the world and have stayed at the most amazing resorts even at 6 stars . However honestly speaking nothing beats the Marriott Courtyard and that’s due to your staff .
From speaking to Deby Sethani at booking to speaking to John Wolley the Manager of the hotel . Everything is absolutely perfect .
We have 2 more days here and will no doubt enjoy every minute of it .."
1393,Great accommodation and staff!,50,February 2018,"We recently stayed for a week with children and absolutely loved our stay. The rooms are clean and well presented and the grounds are beautiful. The girls in kids club were all amazing with our 1 year old and 8 year old girls, they will miss them all very much!! All of the staff looked after us so well, all very kind and friendly. Shout out to Penny working the pool bar every day! Penny made our stay that extra bit wonderful and we will miss her. Looking forward to seeing everyone again on our next visit"
1394,Disappointing,20,February 2018,"This Courtyard in Seminyak is a poor choice for travelers. While the location is OK, the ambience is uninspiring, the design is boring, and the style of this Courtyard Hotel is so dull. In fact, there is nothing “Bali” about this 1970’s style hotel except for the maids and other hotel workers. It feels and looks like a mediocre and ordinary hotel one would find in any town in a mid to small size city around the globe.

There is a glut of available hotel rooms all over Bali. So many hotels are half empty and restaurants are often lonely. There are so many lovely and inspiring hotels in Bali that give you a clear sense of the special Balinese culture and style, why would anyone stay at such boring and ordinary Hotel with poor service.

Surprisingly, smoking is allowed (encouraged) as one finds ash trays all over the hotel. Breakfast buffet is tiresome, staff are unconcerned throughout the hotel, and quick to say “no” to guest requests.

This are so many incredible hotels in Bali, why stay at a less than ordinary hotel."
1395,Amazing!,50,February 2018,"I can't remember how many trips I've made to Bali & stayed in Seminyak. This place is by far the best. Located close to the beach and the most amazing sunsets, close to all sorts of restaurants & bars & close to shopping. Staff are incredibly friendly & helpful. Breakfast is simply amazing. Rooms are very clean. Make sure you opt for pool view. You cannot go wrong @ Courtyard by Marriott!"
1396,Top Class Hotel in Great Location,50,January 2018,"This is a great great hotel. It was relaxing from the moment we pulled up at the lobby. Great check in to get things started. Great rooms with superb bathrooms. Pool facilities are excellent, pool bar is lovely with nice food on offer for bites during day. Breakfast is exceptional. Really liked everything about this hotel from start to finish. Staff could not do enough to help. I would recommend anyone to stay here. Its fantastic value to top it all off."
1397,Amazing Stay,50,February 2018,"From the moment you get out of the car you are welcomed into a big family. The resort is amazing and the staff are so friendly. It's my first time to Bali and I cannot fault this place.
From the Seminyak Kitchen staff to the cleaners to front desk and everyone in between, all have been so welcoming and friendly making sure our stay is perfect. Definitely coming back!"
1398,Fantastic stay,50,February 2018,"This was my 2nd visit to the Marriott, the staff here are absolutely exceptional, they cannot do enough for you, breakfast and dinner was beautiful and the pool area is lovely during the day, location is so central and close to the beach and all the local shops! A must stay!"
1399,Well equipped hotel with everything you need,50,February 2018,"We had an awful experience with a villa in Bali and had to quickly find a hotel. Hotels in Bali can get tired and outdated however this hotel is amazing. Clean, friendly staff and the upkeep of the gardens, rooms and common facilities is incredible.

Would definitely recommend for a family or a couple who just want a quiet place to chill."
1400,Superb hotel,50,September 2017,"This was our first time in Bali and wasnt quite sure what to expect, the hotel its self is lovely,check in was speedy and when we got to our room it was better than we expected with the added bonus of a cake as it was our anniversary.
The room its self was really comfortable and really clean, the housekeeping came daily and also in the evening.
Nothing was too much trouble for any of the staff and they were all really friendly, especially the security who we had a real laugh with.
The breakfast is out of this world, never had so much choice, the only other time we ate at the hotel was at the pool bar a couple of times which was also good quality, my husband loved the what the truck at the main entrance.
It had a great atmosphere in the day and in the evenings, not too noisy either, and they had some really good singers in the evening.
We only had a week as were travelling to Borneo an Kuala Lumpar but will certainly return to Bali and to this hotel.
Thank you Courtyard for a wonderful holiday"
1401,Ideal hotel in Seminyak,30,January 2018,"The hotel is positioned a little out of the 'main' buzz of Seminyak near the square, however close to the beach (not that you can ever swim in the water unless you want to get yourself wrapped in plastic).

Check in was smooth, our room was ready on time. Housekeeping leaves a lot to be desired, with our sheets never changed once in a 5 night stay, toilets not cleaned, and the room being very average for a 5 star hotel.

Having said that, the wifi was reliable, and breakfast was downright superb.

What made our stay, was the staff. The kitchen staff were the most cheerful, upbeat people I have ever met in a hotel, and their cheerfulness really set a lovely pace for our day.

Tony at reception was a pleasure to deal with when we encountered some unrelated problems during our stay. A big thank you to Grant Young too- who showed that management of hotels can still be empathetic and genuine.

I was surprised by my family for my birthday at the pool bar. The entertainer on the night whose name I unfortunately cannot remember was such a talented musician, who sets the scene for the hotels buzzing pool bar to perfection.

I Made Adi Wirawan, the assistant pool bar manager is an absolute asset to the Marriott name, and I hope he is recognized for his exceptional management of the pool bar. He is a perfect example that under the right management, a hotel which is otherwise lackluster can really excel, and leave guests with positive lasting impressions."
1402,Best Hotel Experience by far!!,50,February 2018,"We stayed for 9 nights at the hotel. From the moment we arrived to the moment we left we were always warmly greeted by wonderful staff. The security coming into the hotel is top notch and made our stay feel very secure and safe.
When entering into the room we were given exactly what we expected from the photos. Our room was just by the poolside which gave us easy acess to their pool facilities.
Their restaurant, Seminyak Kitchen, was great. We had breakfast their every morning. The variety of food was great along with the quality. The staff make a great effort to know your name and ask about your stay which made us feel really welcomed. We also tried their themed dinners which was also high quality.
The crowd we found that stayed here were couples and families, no loud partygoers.

Our plan for our holiday was to be relaxed and we can confidently say this was achieved.

We would highly recommed this place to anyone.

Thank you Courtyard by Marriott!!!"
1403,Fantastic Hotel And Best Choice in Bali,50,February 2018,"Just like the tile I say ""Fantastic Hotel And Best Choice in Bali""
Good location, nice food, gorgeous waterfall pool and pool bar!

Besides those equipment, I have to say I love all of Courtyard Seminyak team.
They act just like family and always offer warm caring.
There is nothing to better than warm greeting and caring while you stay in hotel.
In addition, thanks for room upgraded to one bedroom suite. The room is comfortable and have beautiful pool view.
來渡假選這間就對了
升等到1房的套房w泳池景
還有巧克力拼盤
最❤️的是它中庭的泳池"
1404,Fantastic Stay,50,February 2018,"This hotel is one of the very best I have stayed at in Bali.

I can’t fault a single thing.

Rooms were spacious, clean and comfortable.

The swimming pool was very big and had a quieter area and a more atmospheric area near the swim-up bar, depending on what you feel like.

Breakfast was also great, with a great variety of options.

Location is also very convenient. It’s close to LGBT nightlife and the best restaurants and bars of Seminyak, and also near the beach.

The stand out for me was Zanti the Retreat. This is a spa experience not to be missed. The professionalism and attention to detail is second to none. The aesthetics of the spa are stunning, peaceful and high class.

The staff throughout the hotel are polite, friendly and helpful.

Couldn’t ask for more. Definitely will be back."
1405,Love this place 😍,50,February 2018,"Second time staying in courtyard Marriott Seminyak.I have recommended to all friends and family. Nothing is too much trouble for staff who are probably the friendliest I have ever encountered.
Pool, Beds,food are wonderful.
Hendra at the pool bar makes a wicked Cosmopolitan and always has a smile. Muliana and Indra in the restaurant were great as was the barista that made a great coffee and handsome boss man that would make a great son in law with my daughter pinky. Unfortunately I have forgotten their names. We used the shuttle up to shopping and restaurants often and to the beach also when the rain stayed away I do wish that would pick up more often from the private beach as it is a very hot walk back to the hotel if you miss the 2 hourly pick up taxis don’t come along the beach path.
I have reviewed the amazing massage at zanti spa attached to the resort seperatly. Well worth a couple of massages don’t bother with a cheap sandy one on the beach.
All in all you will not regret staying at courtyard Marriott Seminyak- 5days was not enough😩"
1406,Heavenly hotel,50,February 2018,"We stayed here for a week with our 2 kids. This hotel is superb for families! Amazing service, friendliest staff, great facilities and beautiful rooms. The location is perfect and the staff accommodated every request without a hassle. We can’t rate it highly enough!!!"
1407,Back to Bali,50,January 2018,"Stayed at the Courtyard Marriott Seminyak for the Australia Day long weekend.
The hotel is always consistent with friendly accommodating staff offering good service.
Rates are reasonable and hotel is only a short taxi ride from shopping and restaurants.
Hotel restaurant offers something special every evening with Saturday's Seafood platter and Sunday's roast both very popular for guests.
John and Grant are always found walking around the resort interacting with guests which is unusual in a five star hotel."
1408,Superb Hotel.,50,January 2018,"Visited Bali in January, 2018, and stayed at the Courtyard Marriott, Seminyak. It is a superb Hotel with superb Rooms and a minutes walk away from the Beach and one of the Best Breakfasts had , the staff is super efficient and helpful, also very close to the shopping square. Would highly recommend it to all travellers, certainly value for the money and extra too and especially the Rooms facing the Pool.
👌👍"
1409,Consider this resort for your next holiday,50,August 2017,"We recently stayed at the Marriott and had a terrific holiday, we stayed in a pool access room and whilst this didn't guarantee seating out side our room we didn't get up that early, there was always plenty of poolside access . The swim up bar is fabulous! The rooms are spotless the cleaning staff do a wonderful job in the rooms and around e pool. The staff are really friendly, breakfast is amazing and there is a high level of security when accessing the resort. Terrific location and amazing access to facilities for Aussies taking the late flight home! We had a mix of couples and singles holidaying and had a wonderful time!"
1410,Refreshing stay,50,December 2017,"This is my second visit to this resort, and safe to say won't be my last either. Once again every one delivered the 5 star service that i've always enjoyed at this particular resort. Everyone starting from front desk service - Ulis, Anna, Kesawa and Hendra from pool bar and everyone in the breakfast room did extremely well to make sure our stay was comfortable and enjoyable. Everyone looked for ways to better themselves in their service to their guests, and this was vividly evident in the way they presented it. The place is kids friendly as well as so many activities for all age groups. Room was always clean and presented well. Amenities were always complete and 2 room service everyday was something that we enjoyed tremendously. Grant the manager did well in interacting with guests on a personal level, which made me appreciate staying at the resort even more. All the staff were extremely friendly and always looked for ways to make sure guests' needs were met at all time. Everyone at this resort deserves a good pat on the back for all the hard work they put in. I would strongly recommend to stay at this resort for its many pluses. I can't wait to come back and enjoy the 5 star service in the very near future."
1411,Good service and new facility,40,January 2018,"Was here on a business trip but ended up being the only few in the hotel on such purpose. Most of the guests were tourists, but the good thing is that the facility is new and well kept, quality of food is great and the location couldn't have been better."
1412,"Super stay at Courtyard by Marriott, excellent service.",50,January 2018,"Room - Excellent
service- excellent
general ambiance - very good.
location - very good.
Restaurant/food - excellent, esp breakfast spread was super.

Guest relation officer Prascilla was always there to meet us with a smile, very efficent and took great care of all guest..

Highly recommend for future stay, value for the money charged."
1413,Amazing Services and Friendly Staff,50,January 2018,"This is our 4th visits to Courtyard by Marriott, once again they always delivered. From the day we arrived we were welcomed with smile by the friendly and accommodating front desk staff. And of course head chef Patrick and Mr. Anton from F&B were amazing and friendly staff Dwi, Gita and the staff from dinner service Mr. Sudiartja have made us felt welcomed and also being spoilt with free dessert from the Chef. And finally, many thanks to Grant Young for assisting us with booking and made sure that all of our requests were taken care for. ""This is great hospitality!"""
1414,Beautiful,50,January 2018,"The hotel is situated at hot spot of shopping and near to all go to places

The breakfast spread at this hotel is the finest I have seen ever and their staff at the breakfast area are so so cool and always serving with a smile

Their pool is huge and has bar also in it , their free WiFi is at great speed

They have a food truck at the premise which serves the best tacos

They have their own private beach area marked and a cart leaves you there and picks you up at designated time slots

Simply the best hotel and all vantage point places are just a 10-15 minutes taxi drive away"
1415,Excellent hotel - Super stay in Seminyak!,50,January 2018,"Every once in a while only comes by a hotel stay which is glitch free completely, no complaints at all -perfect hospitality, upkeep,food, attention to guests and details. Courtyard by Marriott Seminyak is one such stay. I’m a member, but I happened to book via the agent, so could t earn rewards, but even besides that the place gave me nothing to complain or worry about. I was greeted by ever smiling faces everywhere - entrance,reception, restaurants at the buffet breakfasts, during a la carte dinners, the housekeeping staff. Everyone is helpful and always nice to you. The pool is mighty amazing with a pool bar as well. They play lovely live music every evening as well, so do try to stay and watch. They also run a buggy service to two three places, including their private beach, so do make use of the service. They also informed us about the reservation tie ups they have with Motel Mexicola and the very popular Potato Head. Please use their front desk if you’re planning to go to these places - you can get two free drinks and there is no hassle of the reservation since they will find you a table.

The room service and a la carte menu is also fairly priced and the food is very tasty. The breakfast buffet is extensive, huge selection of fruits, choose your ingredients smoothies, breads, Indian and Indonesian good, continental fare, breads and even ice creams. There’s also a live counter every day making something new and freshly served every morning. Despite being a vegetarian, I was pretty happy with the food."
1416,Perfectly located,50,January 2018,"At few minutes of the airport, this hotel is perfect after a long flight from Europe. You don't have to across all the island.
Food is amazing (specially the breakfast), the pool is beautiful, and the room are very nice, very clean, thanks to the great housekeeping!"
1417,Highly recommend this hotel !,50,January 2018,"This is our 2nd time out of 3 times to Bali we have stayed at this hotel and will not be out last .
The hotel staff are all very friendly and would do anything to make your stay as enjoyable as possible .
Hendra and others from the bar staff are fantastic and are a credit to Marriott courtyard .i highly recommend you include breakfast in your booking .
The buffet breakfast is delicious with a vast variety of Balinese , western , fruits , bacon and eggs ( omelette and other varieties of eggs cooked as you desire by chefs)
Very clean rooms , pool is great .
Close walking to most parts or cheap taxi rides to main Area (20000 r) don’t get ripped ask for meter on Taxi or just wave 20000 to take you to the square .
Cannot wait until we return next year ."
1418,Great safe secure hotel,40,January 2018,We stayed in this hotel for 7 nights. The security was great priority with searching dog on the check in. The pool was great. The food at the restaurant was fabulous never disappointed us night after night. The breskfast is so so mostly the same every day. The worker are so friendly and kind. The room service is a bit let down. They never replaced the tea or coffee that had been used. They did not replace the shower cap but they threw away the old one. Location is good with little shops around.i will be back to this hotel.
1419,"Outstanding Courtyard Marriott with Incredible Spa, Gym, and Restaurant",50,January 2018,"This Courtyard Marriott has everything you would expect from a Marriott hotel plus more. I paid around 1,250,000 IDR per night this time around. Last time it was around New Year, a popular time for tourists and cost between 1,300,000 IDR and 1,750,000 IDR.

First the standard stuff: The rooms are great with really comfortable beds, good sized LG flat screen TVs, fridge and complimentary bottled water. the air conditioning works well. I have stayed at this hotel multiple times. I'm a Marriott Rewards member, and every time they have upgraded my room. I've had a deluxe room with pool view balcony, deluxe room with pool access terrace, a king suite, and even though I travel alone, one night they upgraded me to king and double bedroom suite which was amazing and would be great for families. The deluxe room with pool access terrace is my least favorite, as it feels a little less private, it's noisier, and you can't lock the terrace doors from the outside so you can't really use it as the entrance and exit to you room, which would be really convenient. After I checked in, Priscilia took great care of me. She accompanied me to my room and as a returning guest, she wanted to know if it was the best room I had stayed in. I was honest and said well actually last time you were short of rooms so I was lucky and got upgraded to a suite. The next day when I extended my stay by two days online, Priscilia saw my extension and without prompting upgraded me to a suite. That small gesture will make me return again in the future.

What makes this hotel really stand out are the Spa, Gym, and Restaurant.

The Spa: My first ever balinese massage was the best massage I've ever had and was from a masseuse named Ita. When I returned to the hotel for the second time, Ita wasn't available, so I had Hari who was also exceptional. Based on this it appears that the spa are very selective on who they hire. I was made to feel very comfortable, and the treatment lasted the entire 60 / 90 minutes. Marriott Elite Rewards members also receive a discount on massages from the spa (15% for silver, 20% for gold, and 25% for platinum). The spa and the great discount was a major reason for rebooking this hotel).

The Gym: Best hotel gym I have seen in Bali. Equipment seems brand new and it's all quality Life Fitness Equipment. In the pictures all you can see is the CV equipment, but they have free weights, a couple of benches, a Life Fitness cable machine with a variety of attachments, and a Smith machine. It has everything you need to workout your entire body. They should include pictures of this on their website instead of just showing the CV equipment as it could be a real selling point to some customers. The only thing I'd like to see added to the gym is a Concept 2 rower. It's also open 24 hours.

Restaurant: The Seminyak Kitchen is amazing.

Breakfast: The breakfast buffet offers just about everything you could imagine for breakfast. There is a juice squeezing / pressing station, where you can choose what fruit you want and watch them juice it infant of you. After a few experiments, apple, banana, and carrot was my favorite mix. They cook eggs to order (including eggs benedict), they have a wide range of breads, pastries, an alternating station which serves crepes or other daily special, hot food buffet with everything including real baked beans, sausages, bacon, tomatoes, mushrooms for a Full English Breakfast, and on the other side a selection of noodles, rice, and other Asian breakfast staples. The breakfast buffet is free for Marriott Rewards members which is a great perk.

Lunch / Dinner: The restaurant has a great menu with a wide variety of options. I've had the nasi goreng, the steak sandwich, and the chicken club sandwich. All three were excellent. The french fries are just okay, I'd recommend substituting for their thick cut chips which even though are more expensive on the menu they substituted for me with no additional charge. As a Gold Marriott Rewards member I received a 20% discount off food. Even without the discount, the price is very reasonable, the discount just gave me the incentive to eat their even more often. The service in the restaurant is great. Two servers in particular provided excellent service, Emile and Widi. Emile gave me some great menu recommendations based on my preferences, all of which I enjoyed. He also took the time to give me some useful tips on what to do and see during my time in Bali. Widi was very attentive as a server in the evenings and made the best juices when it was his turn to man the juicing station in the mornings.

Pool: The pool area is nice however the pool seating is rather limited, and people seem to claim the beds really early. The swim up pool bar is a nice feature and I like it that they actually play music at good volume as this adds to the fun atmosphere. At night they also being in live performers who cover popular songs.

I've stayed at this Courtyard Marriott and the one in Nusa Dua. Both are excellent places to stay. This Courtyard Marriott has the edge in regards to the spa, gym, restaurant, and rooms. Nusa Dua has the edge in terms of the swimming pools, pool seating, private beach (via shuttle), and would be better suited for families or people wanting a more peaceful and relaxing vacation. It's also a little cheaper than the Seminyak Courtyard Marriott. Both Courtyard Marriotts fit in with the vibe of the surrounding area.

I have no hesitation in giving a five star recommendation for the Courtyard by Marriott Bali Seminyak Resort."
1420,Holiday,50,January 2018,"We both had a wonderful trip and on arrival at the Marriott we were welcomed by the beautiful staff working there, especially Arini, Gita, Widi Agik, Yoga & all the other people not mentioned.
I would also like to give appreciation to the efficient cleaning staff who looked after our room which we found to be very spacious and comfortable. We loved the design and architecture of the Marriott and we would recommend a stay here to anyone."
1421,Great Hotel,50,January 2018,"Stayed at the Courtyard for two weeks and had a great time there, it was a good base for the area.

Pros - fantastic staff, great breakfast and they allow you to take away Latte's etc, free beach shuttle available, really good walk in showers in rooms, good wifi and free

Cons - could do with more storage space in the rooms - very little wardrobe and drawer space so we couldn't unpack properly."
1422,Awesome hotel with wonderful staff,50,January 2018,"We visited Marriott Seminyak last April, and this was our second visit to this property. One of the most attractive draw of this property was the attentiveness and friendliness of the hotel staff; the check-in process, restaurant service, and cleaning crew were delivered on a 5-star hotel level. Priscillia recognized us immediately and she had our room ready as soon as we arrived. The suite was spacious and clean. The breakfast buffet is one of the best, and the breakfast cook delivered my omlette even though I was forgetful on both mornings. This is a family friendly hotel, but the surroundings are both peaceful and uncrowded. This hotel is staffed with international staff, and we had wonderful conversations with Grant Young from Australia who warmly greeted the hotel guests. The staff thoughtfullness is a great asset and we would definitely come back to this resort on our next visit."
1423,Our Home away from Home in Seminyak ❤️,50,December 2017,"We are currently planning our next stay at Courtyard Marriott Seminyak after having recently returned from out third stay in 3 years.
Each time we arrive at the hotel we have a sense of coming home. Since 1985 we have been regular visitors to Bali & have stayed in many different locations, experiencing varying accommodation types and we are honestly able to say that our experiences at Courtyard Marriott rank right up there with our BEST.
We love everything about the experience, but the most OUTSTANDING aspect has to be the STAFF. On that note many are still working there since our first visit - indicating a very desirable workplace culture which means happy staff & happy guests.
John as Manager heads a wonderful team which leads by example. Section Managers are often seen tending to the day to day work alongside their team members.
We love the food, ambience, pool, rooms and great mix of guests from all over the world. Nothing is too much trouble. The breakfasts are outstanding & the evening meals reasonably priced & delicious with specialty theme nights a highlight.
Amongst the outstanding staff special mention must go to - Grant, Muliana, Ayu, Auli, O'May, Esa, Sutiarja, Antara, Ali, Dwi, Roy, Helmi, Tony.
VERY HAPPY GUESTS ❤️"
1424,Awesome ♡,50,January 2018,"I always satisfied Marriott Hotel, But Especially marriott seminak gave us awesome experience. Friendly staff, good location, clean linen bed and room. Even though breakfast taste is really nice.
They offer free shuttle buggy anytime. Nice way to go to seminak center. Thanks Marriott, thanks priscillia ^^
And= Suddenly I had to go to hospital in the midnight. Hospital is located only 200mter from Hotel. Dont worry. And roomservice taste is great too(+reasonable price)"
1425,Modern and Fun,50,December 2017,"This resort was stunning. The pool area was amazing and the atmosphere even more so. The rooms were spacious and very clean. The staff were so friendly and helpful, made you feel at home. The breakfast buffet is delicious. Western foods and Asian cuisine available on either side. The fresh egg station and pancakes and waffle stations were awesome. The whole resort was busy but not overcrowded so there was an atmosphere but it wasn't so noisy. The location was probably a 7/10. A bit too far to walk to the main strip of Seminyak, however a taxi there was a short ride and cheap. In saying that, there were definitely many restaurants and spas and other services like dry cleaning available close by so you could walk there. I wouldn't call this resort romantic though. It is for couples and families who want to be free and loud if they please. It is vibrant and a mix of people of all ages. If it is silence and calm you are after, this is not the place for you. We enjoyed ourselves so much we extended our stay. I would definitely visit this resort again."
1426,Amazing service and great location,50,January 2018,"The service here was incredible. They paid attention to every detail and helped in any way possible. The food was quite good as well and very affordable. It was easy to walk to shopping and dining areas of Seminyak because you are in the heart of it but the hotel also has a shuttle that will take you to the main areas and the privately beach area they have (which was actually very small). The pool was really nice and the rooms are nice as well. Overall, great stay. I’d go back!"
1427,Xmas Hols,50,December 2017,"Great hotel, good location, nice pool area. Rooms are really nice and clean. Good breakfast and food for lunch & cocktails - complementary buggy handy to get to the main road of restaurants / bars. Lovely staff. Would recommend!"
1428,Luxury escape,40,November 2017,"We were supposed to be there for a week but ended up there for an extra 3 nights due to the volcano erupting.
We were very impressed with their staff. They were wonderful! Our concierge spent hours on the phone to the airline company and would come find us to update us with proceedings. The office staff would offer us ice tea and/or a hot chocolate drink. I noticed the staff going around the pool one day giving away icy poles to the guests. The kitchen staff were wonderful too. Nothing was too much trouble. The complementary breakfast was amazing. We thoroughly enjoyed the array of foods. There was a great selection of cold pressed exotic fruit juices each morning as well as cereals, hot Asian dishes, eggs, pancakes & waffles and all the usual breads, cakes and pastries. There was ice cream you could help yourself to as well. We would often go to the restaurant for lunch or dinner as they would have specials on from time to time or discount if it was raining.
The hotel did not have a spa bath or jacuzzi and there was a shortage of drawers & cupboards in the bedroom but there was hanging space & shelves in the ensuite."
1429,"Clean, good location, minutes from the beach.",50,January 2018,"Kind staff, comfortable, clean rooms, near the ocean and the alive chaos of touristy Bali.
They have an amazing breakfast buffet that can be included as part of your stay, and the food is very good.
They have a lovely pool area and a nice happy hour/bar venue.
I particularly enjoyed being five minutes from the beach and being able to walk to various shops and restaurants.
The hotel manager, John Woolley, is doing an excellent job with this place.
It’s not traditionally Balinese, but a good choice, especially for a family."
1430,God location!,40,October 2017,Walking distance to the beach. very clean and lives up to the name. staff is friendly and cooperative. breakfast spread is also good. multiple options for both vegetarians and non vegetarians. would not mind staying again.
1431,5 star staff,50,January 2018,"Stayed here with family and loved every minute of it!! Very clean hotel, delicious food and friendliest staff! Especially pool bar staff Hendra and Arca!! They are a credit to your hotel, kids loved them as they are very friendly and entertaining, cannot thank them enough for making pool time fun for kids and relaxing for Mum and dad!! Would highly recommended hotel to everybody! Location is very good for Seminyak area, complimentary buggy service is handy to get you close to all the hotspots!! Will definitely come back!! Thanks Marriott for your warm and wonderful hospitality!!"
1432,best hotel I've ever stayed in Bali.,50,June 2017,"best hotel I've ever stayed in Bali. yes, I mean it.
got the most complete facility, clean & comfortable bed room, tasty foods (God, I wish they could open the breakfast buffet all day hahahahaha), helpful+top hospitality & very well trained staffs."
1433,Good bones needs vibe ..,40,January 2018,"This is classic Marriott..staff well trained and pleasant, good clean no drama hotel. Rooms are good size clean and tidy if a tad Spartan.
The highlights are totally superb breakfast nice decor and if u sit outside away form the kids very pleasant. Nice gym big enough and well fit out. WiFi seem less and excellent. The point's that need work were mainly the lack of a true bar. The pool bar was a bit rough and ready and closed early even though guests were asking. Supposedly the restaurant upstairs had bar access but nobody went. Silly little thing but highly annoying no hooks in the bathroom apart from inside the toilet...very odd.

Lobby needs a vibe."
1434,Return visit,40,January 2018,"Returned here with my kids after a great holiday here last year . The only thing missing was the daily water aerobic class that I enjoyed last year . The massages in the spa were more enjoyable this year as I couldn’t hear the music from the pool. My 5 year old loves the kids club and happily went daily . Be aware that they charge extra for activities usually 6 aud
Food at breakfast is amazing
I will definitely be back again
Thank you"
1435,Excellent Hotel,50,January 2018,"This was an excellent Hotel, top grade but very relaxed. The staff and facilities were top class and the Restaurant food, especially breakfast was great. Rooms and bathrooms were of good size and well-appointed. Most rooms had a nice balcony or outside sitting area that was comfortable. The Hotel is 5 stories with inward-facing rooms overlooking the Pool and gardens. Inward-facing rooms are good, as aerial views of Denpasar area are not very attractive. The only, slight, downside, for us, was that the Hotel basically shut down from about 9 or 10pm ie there was no entertainment or ""social"" areas, after that time. The Hotel is well located about 400m from Seminyak beach. Everywhere is near shops and Massage Spas in the Denpasar area!"
